"artist","song","vector"
"Sabrina Carpenter","Bed Chem","[0.920892775059, 0.453777164221, 4.44378328323, 1471.62475586, 0.0989137291908, 7.74812936783, 2150.52099609, 40.1530303955, 0.45376893878, 14.2141027451, 7985130, 1.00501227379, 0.00126474013086, 0.0221339445561, 0.00418167142197, 0.00153015053365, 0.00435996660963, 0.00166871282272, 0.00191399338655, 0.00157064723317, 0.00238929549232, 0.00117604213301, 0.000524522562046, 0.000450129038654, 0.000269557553111, 0.000372586218873, 0.000404696242185, 0.000225306721404, 0.00016954158491, 0.000151792715769, 0.000303816632368, 0.000311672338285, 0.000332930852892, 0.000325913279084, 0.000265694689006, 0.000470297673019, 0.000733949418645, 0.000506736338139, 0.000104710081359, -670.003234863, 89.3059310913, 25.990776062, 13.1749973297, 4.0360455513, -2.10890746117, 8.43402767181, -10.3863744736, 8.32430076599, 2.55800366402, -2.07088851929, -4.90404319763, -0.975697696209, -13.1757555008, 40.4507713318, -78.1418151855, 17.3932151794, -59.6454734802, 13.6266670227, -37.3374824524, 15.5910921097, -29.8785266876, 14.3592443466, -18.0565223694, 0.33451461792, -0.834396481514, 94.9842071533, 1.23831355572, 4.02011299133, 0.487555295229, 14.7878427505, 1.81851994991, 0.623462021351]"
"NewJeans","How Sweet","[0.939742565155, 0.450987368822, 3.06299710274, 1722.53588867, 0.0941042080522, 7.79244184494, 2775.61816406, 29.9146442413, 0.519549608231, 14.7029895782, 7437283.5, 0.882821202278, 0.00133666978218, 0.0107156857848, 0.00149214384146, 0.000701351556927, 0.00236450205557, 0.00301041034982, 0.000977362971753, 0.000932567229029, 0.00134569301736, 0.000703872879967, 0.000585682806559, 0.000408000167226, 0.000255829771049, 0.000413263886003, 0.000589592615142, 0.000381706486223, 0.000337014585966, 0.000245889037615, 0.000328451569658, 0.000267891387921, 0.000361154117854, 0.000323565502185, 0.000443754455773, 0.000405578699429, 0.000362519320333, 0.00019811684615, 2.89818199235e-05, -664.935119629, 73.1841583252, 22.8913040161, 7.20953321457, -3.57481956482, -10.7578010559, -12.1118621826, -6.98983669281, -0.128346145153, 3.42705607414, -3.5282626152, -0.108767740428, -2.25094223022, -14.9051322937, 26.9575157166, -94.4134063721, 15.4087905884, -77.3653335571, 5.97141504288, -46.6955184937, 13.8214902878, -18.4062843323, 9.51055240631, -15.3049373627, 3.18920445442, -4.84679698944, 124.996002197, 1.25685977936, 5.96679830551, 0.485145390034, 14.5818080902, 1.86214101315, 0.65497726202]"
"The 1975","Menswear","[0.723985552788, 0.407426148653, 7.50924539566, 868.23828125, 0.0678445994854, 6.73797369003, 1120.82116699, 14.7282791138, 0.471603691578, 11.5084781647, 3993024.5, 0.5320789814, 0.000454026565421, 0.0131745059043, 0.00191440724302, 0.00160606345162, 0.00272179604508, 0.00302044115961, 0.00137577543501, 0.00169363548048, 0.000806798401754, 0.000428667233791, 0.000139937081258, 0.000220908317715, 0.000214934174437, 0.000178743619472, 0.00021236120665, 0.000160654235515, 0.000174031942151, 0.000139917203342, 0.000169220176758, 0.000152533102664, 0.000209932390135, 0.000215046107769, 0.00014981237473, 0.000115476759674, 7.4005976785e-05, 2.80552594631e-05, 5.9867602431e-06, -790.946228027, 159.596221924, 18.757566452, 8.99007606506, 0.0266706123948, -7.45689153671, -14.6323919296, -4.57268285751, -7.16281318665, -0.657744169235, -2.6385307312, -0.273980230093, 0.148923709989, -134.485366821, 116.624519348, -86.7849349976, -1.02868366241, -59.3712158203, -6.16738462448, -40.459072113, 1.40774357319, -11.2301292419, 1.88715100288, -6.32445573807, 2.76673579216, -4.32622814178, 96.9396209717, 1.06920349598, 3.47762203217, 0.512329280376, 16.6487350464, 1.66447353363, 0.789220392704]"
"Drake","SMALL TOWN FAME","[0.837960898876, 0.40860491991, 5.38176250458, 968.895263672, 0.0875989496708, 6.90268087387, 1413.01403809, 20.6685161591, 0.543319702148, 9.97545719147, 4563914, 0.671150505543, 0.00300216232426, 0.0113093676046, 0.00228430540301, 0.00170884525869, 0.00235078670084, 0.00207834457979, 0.00242346175946, 0.00120066839736, 0.00110687175766, 0.000533234095201, 0.00051376275951, 0.000656987831462, 0.000449470593594, 0.000263180962065, 0.000208679921343, 0.000147774946527, 0.000148600825923, 0.00016820782912, 0.000131732056616, 9.49997338466e-05, 0.000115154369269, 0.000200314461836, 0.00041188870091, 0.000311613519443, 0.000196941691684, 8.21296780487e-05, 4.93666175316e-06, -754.937072754, 150.432373047, 33.157623291, 0.529559075832, -4.64133262634, -7.33555173874, -10.8971767426, -3.43918395042, -6.26539611816, 1.14999175072, 1.95578539371, -0.154971271753, -1.93965828419, -104.779098511, 116.882255554, -89.8367996216, 4.39503908157, -74.5302124023, 6.48447227478, -41.4431915283, 5.84801387787, -15.3553609848, 0.895126879215, -7.32376241684, -4.09496641159, -7.47492837906, 99.9741592407, 1.19286525249, 4.28206586838, 0.491128742695, 13.318854332, 1.99874854088, 0.796230435371]"
"All Time Low","Kids In The Dark","[0.954726040363, 0.477816849947, 2.68826055527, 1998.82531738, 0.0983998179436, 7.93660259247, 2536.2434082, 30.2155857086, 0.588785529137, 30.1962718964, 4893909.5, 0.861833751202, 0.0002184870973, 0.0049795745872, 0.00323230517097, 0.0017253983533, 0.00375026185066, 0.00164444721304, 0.00112947297748, 0.00096381775802, 0.00154615112115, 0.00126859324519, 0.000545278657228, 0.000483720650664, 0.000623402534984, 0.000666526204441, 0.000627432542387, 0.000701171113178, 0.000534465070814, 0.000534008606337, 0.000617567449808, 0.000572672404815, 0.000483816547785, 0.000380108132958, 0.000308531831251, 0.000279179308563, 0.00014138892584, 6.53847382637e-05, 1.52918491949e-05, -609.374267578, 94.5413360596, -12.8605766296, 26.0650787354, -4.91119432449, 3.07406806946, -2.02171492577, 1.65282452106, 0.997911274433, 2.89181518555, -3.79993748665, -3.94525551796, -3.84641885757, 22.9979114532, 64.1500473022, -127.972251892, 34.0500106812, -58.254119873, 5.53978872299, -32.2108726501, 5.34035825729, -22.6751499176, -0.844495952129, -19.6284408569, -4.38874721527, -10.4368133545, 129.941360474, 1.07137095928, 3.63155055046, 0.583313107491, 13.5097999573, 2.06794047356, 0.711823999882]"
"Girls Generation","Gee","[0.857418477535, 0.467340439558, 3.73629426956, 1922.58654785, 0.0879206135869, 7.88825845718, 2374.87744141, 26.4781455994, 0.502599716187, 18.9317951202, 5842973, 0.906781256199, 0.00137158343568, 0.0054970276542, 0.00187094078865, 0.00105613819323, 0.000688183412421, 0.00123995810281, 0.00132552196737, 0.000623425818048, 0.00109325710218, 0.000724200566765, 0.000999067677185, 0.00113606196828, 0.000485859811306, 0.000778967922088, 0.000518334214576, 0.000808444980066, 0.000479624111904, 0.000348640140146, 0.000532626290806, 0.000440956559032, 0.000280648120679, 0.000254588638199, 0.000272578414297, 0.000282640685327, 0.000171412000782, 6.39171339571e-05, 2.08539968298e-05, -641.008483887, 80.4527435303, 3.99834465981, 12.7871627808, 3.17621278763, 5.02697372437, 8.1522321701, 5.5304274559, 2.02284145355, 8.73745822906, 0.794625103474, 4.76807975769, 6.88313055038, 2.65208864212, 43.1991119385, -110.003356934, 27.5146026611, -55.1975288391, 21.7986602783, -28.3589248657, 16.6235580444, -17.7446460724, 8.70621585846, -6.95137214661, 1.8450704813, -8.64846992493, 99.9863128662, 1.23607254028, 3.94675970078, 0.535759687424, 12.8058652878, 2.06628465652, 0.68091917038]"
"The Weeknd, Playboi Carti","Timeless","[0.904000043869, 0.454047143459, 3.63279342651, 1476.64038086, 0.0923158451915, 7.45605278015, 1212.01953125, 25.9567718506, 0.413505226374, 15.6547250748, 4745651.5, 0.788978338242, 0.00525710918009, 0.0392680354416, 0.0026942146942, 0.00141796551179, 0.00166459067259, 0.000752623309381, 0.00123123975936, 0.00131263548974, 0.00228965166025, 0.000542646390386, 0.00101791520137, 0.000566357106436, 0.000502028502524, 0.000687434687279, 0.000347361405147, 0.000273993966402, 0.000246740644798, 0.000367224565707, 0.000299830833683, 0.000348213681718, 0.000663602084387, 0.000326395733282, 0.000256600120338, 0.000228540317039, 0.000110453096568, 2.91118813038e-05, 2.25122835218e-06, -663.286621094, 122.841171265, 14.0238075256, 16.4059791565, 0.520933151245, 11.8418941498, 12.1241369247, 10.9378814697, 5.13055419922, 13.1224308014, 9.10140228271, 5.30229520798, 0.710798919201, -16.5453929901, 92.8209075928, -101.720726013, 30.2496795654, -52.8956336975, 27.8353748322, -18.6349315643, 18.0261535645, -13.3741130829, 8.64054107666, -6.27600097656, -1.53182327747, -7.1516494751, 119.981025696, 1.16977548599, 4.29668045044, 0.481944829226, 14.0251903534, 1.85724294186, 0.538365006447]"
"The Kid LAROI","YOU","[0.692297041416, 0.44473195076, 3.78233122826, 1208.50671387, 0.0822598785162, 7.30821657181, 1407.34692383, 26.7224807739, 0.475080996752, 16.0411396027, 5232267.5, 1.13613128662, 0.000735952926334, 0.0198474526405, 0.0051082605496, 0.00152415875345, 0.00366675900295, 0.00240606325679, 0.00170803326182, 0.00254635093734, 0.00178301194683, 0.00169190065935, 0.000968327512965, 0.000741194584407, 0.00125278381165, 0.00154573551845, 0.000838717212901, 0.000445473822765, 0.000405783182941, 0.000350752234226, 0.000178098038305, 0.000206053053262, 0.00018481555162, 0.000166545985849, 0.000154591645696, 0.000155891888426, 0.00012721636449, 4.12286317442e-05, 7.4749777923e-07, -656.646911621, 131.236740112, 7.55893659592, 11.004327774, 8.08594608307, 9.92009067535, 7.01877212524, 4.65013217926, -0.105138272047, 4.54318332672, 2.43835115433, 1.53963720798, -3.4526014328, -16.143157959, 100.716064453, -107.183403015, 25.5454406738, -54.1675949097, 25.169254303, -34.4321022034, 10.8525524139, -24.2158603668, 3.14863443375, -13.8903331757, -4.18850231171, -11.6879434586, 92.6989440918, 0.994034349918, 3.3270983696, 0.560595393181, 15.7116670609, 1.69604980946, 0.74711728096]"
"Jang Hayden","RUN","[0.946658670902, 0.469413399696, 2.58309054375, 1802.52429199, 0.0836963579059, 7.78982591629, 3002.51489258, 46.865776062, 0.537995874882, 16.7566394806, 6973588, 0.505646288395, 0.000385172461392, 0.0116267353296, 0.00275811832398, 0.00228157336824, 0.00297772721387, 0.00123088422697, 0.000732120184693, 0.000845460803248, 0.000829245429486, 0.000150232939632, 0.000208337121876, 0.000255736697, 0.000263395952061, 0.000334973301506, 0.00016272663197, 0.000159182105563, 0.00015450558567, 0.000226492426009, 0.000322023232002, 0.000612937554251, 0.000525514420588, 0.000765491626225, 0.00170578283723, 0.00141359271947, 0.000308165588649, 0.000126813945826, 1.50613532242e-05, -634.261535645, 92.2572479248, 37.6683502197, 26.1547832489, 3.66645765305, 10.2387886047, -2.57758879662, 3.02934646606, -6.70031023026, 10.5139436722, -1.37346017361, 3.55811476707, 0.579706847668, 14.2667942047, 65.3239974976, -84.9429702759, 47.2166671753, -69.0191345215, 18.873506546, -36.9811706543, 5.21018409729, -17.7001552582, 3.42852640152, -10.7077598572, -3.64863991737, -14.2788686752, 117.030929565, 1.29466366768, 3.77016377449, 0.474864214659, 12.7734794617, 1.99118161201, 0.772873938084]"
"The 1975","Robbers","[0.840611815453, 0.465601950884, 5.48509645462, 1493.70812988, 0.089488171041, 7.55247116089, 1556.61499023, 26.5316925049, 0.469565808773, 18.0030097961, 4447708, 0.89123570919, 0.000835604267195, 0.01523395814, 0.00281775533222, 0.00183481944259, 0.00130587059539, 0.00184385210741, 0.0010085668182, 0.000423907709774, 0.00313448533416, 0.00146172137465, 0.000953712617047, 0.000462265656097, 0.000544648675714, 0.00065415573772, 0.000693344918545, 0.000625156564638, 0.000696561590303, 0.000222845221288, 0.000258843938354, 0.000352559698513, 0.000191956147319, 0.000320012244629, 0.000214644009247, 0.000182762611075, 0.000147288898006, 9.1295078164e-05, 3.75717172574e-05, -666.728637695, 125.425422668, -9.55010128021, 25.5278778076, 6.04930257797, 10.7702121735, 0.312834471464, 10.2435836792, 7.69583845139, 4.37621116638, 2.89200544357, 0.503032147884, 2.26993060112, -22.2352352142, 92.1438140869, -116.94694519, 29.9964485168, -40.6910362244, 13.3133392334, -23.579252243, 10.6283473969, -11.5054597855, 3.65780186653, -14.0938024521, 4.48787212372, -5.78084516525, 99.6128387451, 1.05160999298, 3.20611143112, 0.524952948093, 14.4729709625, 1.85202598572, 0.839565098286]"
"BLACKPINK","Shut Down","[0.904867529869, 0.462893217802, 3.0934484005, 1882.67492676, 0.0920017659664, 7.64716243744, 3140.83789062, 33.5399017334, 0.402732133865, 14.6380672455, 5883402.5, 1.27669620514, 0.00133076054044, 0.0275279544294, 0.00359210418537, 0.001527740038, 0.00167661986779, 0.000765844306443, 0.000684478553012, 0.000693843583576, 0.000953107781243, 0.000535875908099, 0.000661640893668, 0.000448842154583, 0.00046876797569, 0.000331283721607, 0.000471035309602, 0.000560481275897, 0.000363962055417, 0.000407971994719, 0.000359796715202, 0.000352235219907, 0.000292544864351, 0.000252607715083, 0.000540567387361, 0.000293064018479, 0.000237437430769, 9.26466018427e-05, 0.000358913501259, -666.077575684, 85.8268661499, 3.59814786911, 18.0961837769, 5.08222341537, 4.89633464813, 2.44013929367, 7.51224088669, 3.48344063759, 7.40018415451, -2.78163743019, 2.44807434082, 2.38420462608, -7.63408899307, 31.6215553284, -93.738609314, 14.141711235, -37.961933136, 2.6909160614, -15.7709007263, -0.0607036314905, -3.83682513237, -8.7793264389, -1.85251688957, -9.3153629303, 1.14806854725, 110.017669678, 1.10633838177, 4.26371908188, 0.570694327354, 14.7068567276, 1.83075022697, 0.859072804451]"
"Stevie Wonder","Isnt She Lovely","[0.93744468689, 0.462407052517, 3.22722482681, 1241.23620605, 0.0887360945344, 7.52606058121, 1444.67797852, 19.2372646332, 0.580112814903, 16.4188404083, 5225769, 1.33740818501, 3.91439862142e-05, 0.0048318291083, 0.00288678682409, 0.00271918182261, 0.00334271066822, 0.00264848396182, 0.00179950310849, 0.000762281182688, 0.00129180797376, 0.000878584920429, 0.000548042706214, 0.000670353183523, 0.000648188346531, 0.000939593068324, 0.000562498986255, 0.000569275522139, 0.000288355484372, 0.000267928262474, 0.000176245681359, 0.00017152048531, 0.000202808136237, 0.000144049161463, 0.000158640104928, 7.48527600081e-05, 8.56894257595e-05, 2.21726750169e-05, 6.35383457848e-06, -648.088989258, 119.364265442, 9.82113552094, 17.0652084351, -5.95486927032, 7.36883068085, -10.5569705963, 0.0653316453099, -5.62476301193, -1.40986037254, -2.14481973648, -1.75925803185, -3.08898615837, -1.6393891573, 84.3580245972, -109.211898804, 25.284576416, -67.9944000244, 11.373758316, -41.9785575867, 1.87308835983, -22.9855613708, 4.095495224, -17.185005188, 2.18084621429, -9.9536190033, 118.54322052, 1.38881802559, 3.82645320892, 0.467956781387, 12.427728653, 2.12923622131, 0.74217492342]"
"TWICE","CHEER UP","[0.929100692272, 0.456145614386, 3.44513964653, 1811.17102051, 0.0913551524282, 7.68412971497, 2278.95166016, 33.2827796936, 0.504085123539, 17.8468208313, 5666283.5, 1.64045333862, 0.000165920559084, 0.00765467621386, 0.00215724552982, 0.000923271465581, 0.00103921990376, 0.000811937905382, 0.00139709736686, 0.000952166737989, 0.00108978070784, 0.00232797721401, 0.00188104901463, 0.00137329217978, 0.00058528064983, 0.00104568514507, 0.00109182845335, 0.000952798349317, 0.000412340974435, 0.000334314565407, 0.000503449002281, 0.000366365740774, 0.000448533683084, 0.000216836400796, 0.000223392693442, 0.000295416568406, 0.000271675700787, 0.000131428154418, 4.1138362576e-05, -646.893249512, 90.5377044678, -5.72932958603, 10.6745605469, 3.87606954575, 2.07258272171, 9.92047309875, 3.91919279099, 7.75361442566, 8.22723579407, -1.47962713242, 1.22362148762, -0.306279927492, -2.45685696602, 48.0815620422, -115.27545929, 18.3882255554, -48.6884384155, 19.3097286224, -27.0730361938, 16.9797153473, -21.0867576599, 5.81531190872, -14.5800600052, -3.43684720993, -7.24005174637, 172.265472412, 1.07017958164, 4.4667840004, 0.578464508057, 15.0429801941, 1.72383654118, 0.716968357563]"
"NewJeans","Cool With You","[0.915068507195, 0.405380219221, 4.56956195831, 836.470031738, 0.0827154368162, 6.76034450531, 990.04119873, 17.7344474792, 0.486481189728, 10.61302948, 5083102, 0.910877406597, 0.000428507279139, 0.0104918843135, 0.00357426539995, 0.00165396742523, 0.00546496221796, 0.00575818121433, 0.00250926613808, 0.000801231071819, 0.00121003796812, 0.000993519439362, 0.00123690825421, 0.000474900123663, 0.000305800407659, 0.000346486485796, 0.000232364429394, 0.000120205695566, 0.000111019478936, 0.000107223990199, 0.00014278900926, 0.00012212380534, 0.0001222838182, 0.000114769209176, 0.00011104564328, 0.000127359395265, 0.000122431665659, 3.53770701622e-05, 3.15194597533e-06, -742.03503418, 146.32232666, 34.8812408447, 8.40760803223, -3.67202758789, -4.66082811356, 5.57446718216, -8.78003025055, -7.81221008301, -4.6988158226, -8.05531406403, -3.79330015182, -2.18995189667, -90.2066116333, 109.413375854, -79.239906311, 6.18027353287, -68.3977203369, 5.20142555237, -36.7971916199, 2.68511033058, -28.861661911, 3.63141655922, -3.70604801178, 1.38246178627, 2.40590238571, 135.006561279, 1.20810961723, 3.92834305763, 0.497690081596, 15.9395122528, 1.7390191555, 0.718779861927]"
"Grover Washington, Jr.","Just the Two of Us (feat. Bill Withers)","[0.804069459438, 0.42286413908, 5.05166244507, 1042.21252441, 0.0724486708641, 6.97733449936, 1401.3371582, 18.9056282043, 0.525077939034, 12.9387903214, 4628291.5, 0.896069765091, 2.15222735278e-05, 0.00441414536908, 0.00181406689808, 0.00216320063919, 0.00342570757493, 0.00181383022573, 0.00122943660244, 0.000717618793715, 0.0016543676611, 0.00069660146255, 0.00065168843139, 0.000473280553706, 0.000628005363978, 0.000477778958157, 0.000400961755076, 0.000476673943922, 0.000299083156278, 0.000220347224968, 0.000181953189895, 0.000202131195692, 0.000178510570549, 0.0001333696855, 0.000104799168184, 9.3853326689e-05, 0.000100520628621, 0.000122806581203, 3.90192981286e-05, -722.128234863, 148.737106323, 16.1076278687, 16.6137084961, 1.94421505928, 3.02270913124, -0.0854205340147, 1.855448246, -1.62467825413, -0.760796427727, -4.17947340012, -4.72705936432, -2.67820096016, -62.2386207581, 102.678215027, -87.5543441772, 9.31954574585, -50.8410491943, 4.93982791901, -32.5998153687, 2.54488372803, -24.1826915741, -0.690707087517, -17.0024204254, 0.395493268967, -9.9910774231, 95.8021240234, 1.25453817844, 4.48565626144, 0.481439530849, 14.864323616, 1.78118097782, 0.655065596104]"
